State,State Code,County,County Code,Year,Total Deaths,Total Population,Total Crude Rate,Total Age Adjusted Rate,Female Deaths,Female Deaths (Calculated),Female Population,Female Crude Rate,Female Age Adjusted Rate,Male Deaths,Male Deaths (Calculated),Male Population,Male Crude Rate,Male Age Adjusted Rate,White Deaths,White Population,White Crude Rate,White Age Adjusted Rate,Black Deaths,Black Population,Black Crude Rate,Black Age Adjusted Rate,API Deaths,API Population,API Crude Rate,API Age Adjusted Rate,Native American Deaths,Native American Population,Native American Crude Rate,Native American Age Adjusted Rate
Connecticut,09,Fairfield County,09001,1999,31,877043,3.535,3.549,-1,-1,453875,-1,-1,23,23,423168,5.435,5.431,28,747786,3.744,3.824,-1,96611,-1,-1,-1,30376,-1,-1,-1,2270,-1,-1
Connecticut,09,Fairfield County,09001,2000,35,882567,3.966,3.899,-1,-1,456440,-1,-1,31,31,426127,7.275,7.123,31,750877,4.129,4.138,-1,97669,-1,-1,-1,31631,-1,-1,-1,2390,-1,-1
Connecticut,09,Fairfield County,09001,2001,27,889063,3.037,2.992,-1,-1,459322,-1,-1,18,18,429741,-2,-2,21,753550,2.787,2.762,-1,99422,-1,-1,-1,33439,-1,-1,-1,2652,-1,-1
Connecticut,09,Fairfield County,09001,2002,38,892900,4.256,4.395,-1,-1,460550,-1,-1,32,32,432350,7.401,7.570,33,754170,4.376,4.641,-1,100489,-1,-1,-1,35385,-1,-1,-1,2856,-1,-1
Connecticut,09,Fairfield County,09001,2003,33,896342,3.682,3.852,-1,-1,462117,-1,-1,28,28,434225,6.448,6.674,31,754205,4.110,4.440,-1,102118,-1,-1,-1,36860,-1,-1,-1,3159,-1,-1
Connecticut,09,Fairfield County,09001,2004,30,897472,3.343,3.528,-1,-1,462438,-1,-1,23,23,435034,5.287,5.623,29,752735,3.853,4.219,-1,103248,-1,-1,-1,38168,-1,-1,-1,3321,-1,-1
Connecticut,09,Fairfield County,09001,2005,35,897653,3.899,3.953,-1,-1,462257,-1,-1,29,29,435396,6.661,6.720,33,750267,4.398,4.519,-1,104238,-1,-1,-1,39567,-1,-1,-1,3581,-1,-1
Connecticut,09,Fairfield County,09001,2006,53,896254,5.914,6.149,16,16,461754,-2,-2,37,37,434500,8.516,8.759,47,746385,6.297,6.802,-1,105002,-1,-1,-1,41012,-1,-1,-1,3855,-1,-1
Connecticut,09,Fairfield County,09001,2007,46,897498,5.125,5.360,-1,-1,461891,-1,-1,38,38,435607,8.723,9.017,38,745296,5.099,5.482,-1,105951,-1,-1,-1,42216,-1,-1,-1,4035,-1,-1
Connecticut,09,Fairfield County,09001,2008,53,903824,5.864,5.900,16,16,464848,-2,-2,37,37,438976,8.429,8.495,49,748306,6.548,6.839,-1,107361,-1,-1,-1,43791,-1,-1,-1,4366,-1,-1
Connecticut,09,Fairfield County,09001,2009,46,910421,5.053,5.106,10,10,467962,-2,-2,36,36,442459,8.136,8.097,41,750761,5.461,5.658,-1,109805,-1,-1,-1,45263,-1,-1,-1,4592,-1,-1
Connecticut,09,Fairfield County,09001,2010,33,916829,3.599,3.711,13,13,471228,-2,-2,20,20,445601,4.488,4.755,31,753387,4.115,4.365,-1,112011,-1,-1,-1,46671,-1,-1,-1,4760,-1,-1
Connecticut,09,Fairfield County,09001,2011,30,925899,3.240,3.423,-1,-1,474899,-1,-1,23,23,451000,5.100,5.361,30,757962,3.958,4.310,-1,114302,-1,-1,-1,48715,-1,-1,-1,4920,-1,-1
Connecticut,09,Fairfield County,09001,2012,38,933835,4.069,4.259,11,11,478804,-2,-2,27,27,455031,5.934,6.108,37,761094,4.861,5.206,-1,116531,-1,-1,-1,51149,-1,-1,-1,5061,-1,-1
Connecticut,09,Fairfield County,09001,2013,85,939904,9.043,9.086,29,29,481724,6.020,5.913,56,56,458180,12.222,12.269,75,762888,9.831,10.140,10,119026,-2,-2,-1,52808,-1,-1,-1,5182,-1,-1
Connecticut,09,Fairfield County,09001,2014,87,945438,9.202,9.266,29,29,484478,5.986,5.873,58,58,460960,12.582,12.743,80,763887,10.473,10.770,-1,121351,-1,-1,-1,54964,-1,-1,-1,5236,-1,-1
Connecticut,09,Fairfield County,09001,2015,114,948053,12.025,12.327,32,32,486141,6.582,6.793,82,82,461912,17.752,17.970,106,762354,13.904,14.724,-1,123652,-1,-1,-1,56676,-1,-1,-1,5371,-1,-1
Connecticut,09,Fairfield County,09001,2016,150,944177,15.887,16.755,46,46,484241,9.499,10.344,104,104,459936,22.612,23.353,139,757486,18.350,20.138,-1,124696,-1,-1,-1,56664,-1,-1,-1,5331,-1,-1
Connecticut,09,Fairfield County,09001,2017,155,949921,16.317,16.962,42,42,487027,8.624,8.372,113,113,462894,24.412,25.768,134,759385,17.646,19.073,19,126870,-2,-2,-1,58255,-1,-1,-1,5411,-1,-1
Connecticut,09,Hartford County,09003,1999,41,853039,4.806,4.862,-1,-1,442976,-1,-1,34,34,410063,8.291,8.157,37,716711,5.162,5.335,-1,111007,-1,-1,-1,22693,-1,-1,-1,2628,-1,-1
Connecticut,09,Hartford County,09003,2000,54,857183,6.300,6.278,-1,-1,444907,-1,-1,45,45,412276,10.915,10.733,48,717671,6.688,6.766,-1,113097,-1,-1,-1,23579,-1,-1,-1,2836,-1,-1
Connecticut,09,Hartford County,09003,2001,39,862573,4.521,4.578,-1,-1,447392,-1,-1,31,31,415181,7.467,7.446,35,718409,4.872,4.987,-1,115711,-1,-1,-1,25392,-1,-1,-1,3061,-1,-1
Connecticut,09,Hartford County,09003,2002,46,867451,5.303,5.429,14,14,449778,-2,-2,32,32,417673,7.661,7.657,42,718880,5.842,6.125,-1,118026,-1,-1,-1,27358,-1,-1,-1,3187,-1,-1
Connecticut,09,Hartford County,09003,2003,46,873335,5.267,5.330,-1,-1,452474,-1,-1,37,37,420861,8.792,8.791,40,719710,5.558,5.720,-1,120788,-1,-1,-1,29460,-1,-1,-1,3377,-1,-1
Connecticut,09,Hartford County,09003,2004,43,874449,4.917,4.996,13,13,452879,-2,-2,30,30,421570,7.116,7.137,42,717049,5.857,5.987,-1,122672,-1,-1,-1,31179,-1,-1,-1,3549,-1,-1
Connecticut,09,Hartford County,09003,2005,52,878081,5.922,6.021,17,17,454327,-2,-2,35,35,423754,8.260,8.328,47,716447,6.560,6.880,-1,124852,-1,-1,-1,33078,-1,-1,-1,3704,-1,-1
Connecticut,09,Hartford County,09003,2006,61,881298,6.922,6.999,18,18,455875,-2,-2,43,43,425423,10.108,10.193,59,715178,8.250,8.462,-1,127176,-1,-1,-1,34982,-1,-1,-1,3962,-1,-1
Connecticut,09,Hartford County,09003,2007,65,884548,7.348,7.556,20,20,457152,4.375,4.614,45,45,427396,10.529,10.604,61,713881,8.545,8.959,-1,129545,-1,-1,-1,36938,-1,-1,-1,4184,-1,-1
Connecticut,09,Hartford County,09003,2008,55,887891,6.194,6.250,17,17,459145,-2,-2,38,38,428746,8.863,8.845,52,712832,7.295,7.604,-1,131879,-1,-1,-1,38716,-1,-1,-1,4464,-1,-1
Connecticut,09,Hartford County,09003,2009,47,891667,5.271,5.379,-1,-1,460982,-1,-1,40,40,430685,9.288,9.349,42,712044,5.899,6.198,-1,134377,-1,-1,-1,40634,-1,-1,-1,4612,-1,-1
Connecticut,09,Hartford County,09003,2010,52,894014,5.816,5.895,14,14,462001,-2,-2,38,38,432013,8.796,8.800,47,710681,6.613,6.790,-1,136344,-1,-1,-1,42151,-1,-1,-1,4838,-1,-1
Connecticut,09,Hartford County,09003,2011,51,894705,5.700,5.730,14,14,461862,-2,-2,37,37,432843,8.548,8.609,49,709356,6.908,7.120,-1,137369,-1,-1,-1,43011,-1,-1,-1,4969,-1,-1
Connecticut,09,Hartford County,09003,2012,47,897259,5.238,5.328,-1,-1,462734,-1,-1,38,38,434525,8.745,8.866,47,707690,6.641,6.879,-1,139837,-1,-1,-1,44563,-1,-1,-1,5169,-1,-1
Connecticut,09,Hartford County,09003,2013,117,898272,13.025,13.060,27,27,462675,5.836,6.413,90,90,435597,20.661,19.975,107,704987,15.178,15.700,-1,141564,-1,-1,-1,46306,-1,-1,-1,5415,-1,-1
Connecticut,09,Hartford County,09003,2014,137,897985,15.256,16.033,43,43,462347,9.300,10.019,94,94,435638,21.578,22.342,132,700318,18.849,20.344,-1,143630,-1,-1,-1,48669,-1,-1,-1,5368,-1,-1
Connecticut,09,Hartford County,09003,2015,191,895841,21.321,20.815,54,54,460878,11.717,10.736,137,137,434963,31.497,31.114,179,695745,25.728,25.703,12,144524,-2,-2,-1,49988,-1,-1,-1,5584,-1,-1
Connecticut,09,Hartford County,09003,2016,245,892389,27.454,27.776,53,53,458751,11.553,11.694,192,192,433638,44.277,44.397,223,689976,32.320,33.945,21,145209,14.462,14.251,-1,51591,-1,-1,-1,5613,-1,-1
Connecticut,09,Hartford County,09003,2017,281,895388,31.383,31.461,61,61,460265,13.253,13.006,220,220,435123,50.560,50.433,258,688090,37.495,39.110,19,147077,-2,-2,-1,54428,-1,-1,-1,5793,-1,-1
Connecticut,09,Litchfield County,09005,1999,-1,181328,-1,-1,-1,-1,92729,-1,-1,-1,-1,88599,-1,-1,-1,176382,-1,-1,-1,2303,-1,-1,-1,2262,-1,-1,-1,381,-1,-1
Connecticut,09,Litchfield County,09005,2000,-1,182193,-1,-1,-1,-1,93149,-1,-1,-1,-1,89044,-1,-1,-1,176972,-1,-1,-1,2426,-1,-1,-1,2373,-1,-1,-1,422,-1,-1
Connecticut,09,Litchfield County,09005,2001,11,184118,-2,-2,-1,-1,94185,-1,-1,11,11,89933,-2,-2,11,178553,-2,-2,-1,2539,-1,-1,-1,2586,-1,-1,-1,440,-1,-1
Connecticut,09,Litchfield County,09005,2002,-1,185974,-1,-1,-1,-1,94963,-1,-1,-1,-1,91011,-1,-1,-1,180132,-1,-1,-1,2666,-1,-1,-1,2701,-1,-1,-1,475,-1,-1
Connecticut,09,Litchfield County,09005,2003,-1,187424,-1,-1,-1,-1,95653,-1,-1,-1,-1,91771,-1,-1,-1,181335,-1,-1,-1,2763,-1,-1,-1,2843,-1,-1,-1,483,-1,-1
Connecticut,09,Litchfield County,09005,2004,12,188601,-2,-2,-1,-1,96245,-1,-1,10,10,92356,-2,-2,11,182254,-2,-2,-1,2899,-1,-1,-1,2956,-1,-1,-1,492,-1,-1
Connecticut,09,Litchfield County,09005,2005,-1,188912,-1,-1,-1,-1,96296,-1,-1,-1,-1,92616,-1,-1,-1,182370,-1,-1,-1,2963,-1,-1,-1,3070,-1,-1,-1,509,-1,-1
Connecticut,09,Litchfield County,09005,2006,13,189682,-2,-2,-1,-1,96713,-1,-1,11,11,92969,-2,-2,13,182774,-2,-2,-1,3225,-1,-1,-1,3146,-1,-1,-1,537,-1,-1
