State,State_Code,County,County_Code,Year,Total_Deaths,Total_Population,Total_Age_Adjusted_Rate,Female_Deaths_(Calculated),Male_Deaths_(Calculated),White_Age_Adjusted_Rate,Black_Age_Adjusted_Rate,API_Age_Adjusted_Rate,Native_American_Age_Adjusted_Rate,Heroin_Deaths,Heroin_Age_Adjusted_Rate,Other_Opioids_Deaths,Other_Opioids_Age_Adjusted_Rate,Methadone_Deaths,Methadone_Age_Adjusted_Rate,Other_Synthetic_Narcotics_Deaths,Other_Synthetic_Narcotics_Age_Adjusted_Rate,Other_Unspecified_Narcotics_Deaths,Other_Unspecified_Narcotics_Age_Adjusted_Rate
Connecticut,09,Fairfield County,09001,1999,31,877043,3.549,8,23,3.824,Suppressed,Suppressed,Suppressed,19,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2000,35,882567,3.899,4,31,4.138,Suppressed,Suppressed,Suppressed,25,2.776,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2001,27,889063,2.992,9,18,2.762,Suppressed,Suppressed,Suppressed,15,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2002,38,892900,4.395,6,32,4.641,Suppressed,Suppressed,Suppressed,18,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2003,33,896342,3.852,5,28,4.440,Suppressed,Suppressed,Suppressed,20,2.318,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2004,30,897472,3.528,7,23,4.219,Suppressed,Suppressed,Suppressed,14,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2005,35,897653,3.953,6,29,4.519,Suppressed,Suppressed,Suppressed,15,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2006,53,896254,6.149,16,37,6.802,Suppressed,Suppressed,Suppressed,19,Unreliable,Suppressed,Suppressed,14,Unreliable,Suppressed,Suppressed,13,Unreliable
Connecticut,09,Fairfield County,09001,2007,46,897498,5.360,8,38,5.482,Suppressed,Suppressed,Suppressed,23,2.599,Suppressed,Suppressed,16,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2008,53,903824,5.900,16,37,6.839,Suppressed,Suppressed,Suppressed,21,2.447,15,Unreliable,12,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2009,46,910421,5.106,10,36,5.658,Suppressed,Suppressed,Suppressed,20,2.260,Suppressed,Suppressed,10,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed
Connecticut,09,Fairfield County,09001,2010,33,916829,3.711,13,20,4.365,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,10,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed
