"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	5	3795762	Unreliable
	"< 1 year"	"1"	"2000"	"2000"	7	3805648	Unreliable
	"< 1 year"	"1"	"2001"	"2001"	6	4012658	Unreliable
	"< 1 year"	"1"	"2002"	"2002"	8	3951461	Unreliable
	"< 1 year"	"1"	"2003"	"2003"	8	3975871	Unreliable
	"< 1 year"	"1"	"2004"	"2004"	9	4014258	Unreliable
	"< 1 year"	"1"	"2005"	"2005"	7	4004393	Unreliable
	"< 1 year"	"1"	"2006"	"2006"	9	4041738	Unreliable
	"< 1 year"	"1"	"2007"	"2007"	8	4147997	Unreliable
	"< 1 year"	"1"	"2008"	"2008"	7	4132735	Unreliable
	"< 1 year"	"1"	"2009"	"2009"	9	4003587	Unreliable
	"< 1 year"	"1"	"2010"	"2010"	11	3944153	Unreliable
	"< 1 year"	"1"	"2011"	"2011"	12	3996537	Unreliable
	"< 1 year"	"1"	"2012"	"2012"	17	3943077	Unreliable
	"< 1 year"	"1"	"2013"	"2013"	9	3941783	Unreliable
	"< 1 year"	"1"	"2014"	"2014"	8	3948350	Unreliable
	"< 1 year"	"1"	"2015"	"2015"	13	3978038	Unreliable
	"< 1 year"	"1"	"2016"	"2016"	12	3970145	Unreliable
	"< 1 year"	"1"	"2017"	"2017"	19	3939295	Unreliable
"Total"	"< 1 year"	"1"			184	75547486	0.244
	"1-4 years"	"1-4"	"1999"	"1999"	7	15339782	Unreliable
	"1-4 years"	"1-4"	"2000"	"2000"	7	15370150	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	13	15285559	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	15	15477731	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	16	15616575	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	17	15771627	Unreliable
	"1-4 years"	"1-4"	"2005"	"2005"	20	15913007	0.126
	"1-4 years"	"1-4"	"2006"	"2006"	23	15897145	0.145
	"1-4 years"	"1-4"	"2007"	"2007"	31	15977965	0.194
	"1-4 years"	"1-4"	"2008"	"2008"	37	16138392	0.229
	"1-4 years"	"1-4"	"2009"	"2009"	27	16240931	0.166
	"1-4 years"	"1-4"	"2010"	"2010"	26	16257209	0.160
	"1-4 years"	"1-4"	"2011"	"2011"	32	16165521	0.198
	"1-4 years"	"1-4"	"2012"	"2012"	26	16056267	0.162
	"1-4 years"	"1-4"	"2013"	"2013"	29	15926305	0.182
	"1-4 years"	"1-4"	"2014"	"2014"	34	15928533	0.213
