"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	Suppressed	58787	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	Suppressed	236153	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	Suppressed	315749	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	Suppressed	317379	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	Suppressed	327789	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	Suppressed	306182	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"25-29 years"	"25-29"	Suppressed	307028	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	Suppressed	301295	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	Suppressed	342932	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	Suppressed	344000	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	Suppressed	309892	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"50-54 years"	"50-54"	Suppressed	275759	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"55-59 years"	"55-59"	Suppressed	220728	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"60-64 years "	"60-64"	Suppressed	189814	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"65-69 years"	"65-69"	Suppressed	167363	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"70-74 years"	"70-74"	Suppressed	148565	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"75-79 years"	"75-79"	Suppressed	117897	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"80-84 years"	"80-84"	Suppressed	76876	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"1999"	"1999"			37	4430141	0.835
	"Alabama"	"01"	"2000"	"2000"	"< 1 year"	"1"	Suppressed	59101	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"1-4 years"	"1-4"	Suppressed	236891	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"5-9 years"	"5-9"	Suppressed	315345	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"10-14 years"	"10-14"	Suppressed	320252	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"15-19 years"	"15-19"	Suppressed	324580	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"20-24 years"	"20-24"	Suppressed	306865	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"25-29 years"	"25-29"	Suppressed	301196	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"30-34 years"	"30-34"	Suppressed	301819	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"35-39 years"	"35-39"	Suppressed	340300	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"40-44 years"	"40-44"	14	345212	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"45-49 years"	"45-49"	Suppressed	315173	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"50-54 years"	"50-54"	Suppressed	285036	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"55-59 years"	"55-59"	Suppressed	225450	Suppressed
