State,State_Code,Year,Year_Code,Deaths,Population,Crude_Rate
Alabama,01,1999,1999,37,4430141,0.835
Alabama,01,2000,2000,43,4447100,0.967
Alabama,01,2001,2001,57,4467634,1.276
Alabama,01,2002,2002,71,4480089,1.585
Alabama,01,2003,2003,49,4503491,1.088
Alabama,01,2004,2004,83,4530729,1.832
Alabama,01,2005,2005,80,4569805,1.751
Alabama,01,2006,2006,124,4628981,2.679
Alabama,01,2007,2007,165,4672840,3.531
Alabama,01,2008,2008,185,4718206,3.921
Alabama,01,2009,2009,206,4757938,4.33
Alabama,01,2010,2010,187,4779736,3.912
Alabama,01,2011,2011,176,4802740,3.665
Alabama,01,2012,2012,165,4822023,3.422
Alabama,01,2013,2013,166,4833722,3.434
Alabama,01,2014,2014,270,4849377,5.568
Alabama,01,2015,2015,282,4858979,5.804
Alabama,01,2016,2016,343,4863300,7.053
Alabama,01,2017,2017,422,4874747,8.657
Alaska,02,1999,1999,27,624779,4.322
Alaska,02,2000,2000,27,626932,4.307
Alaska,02,2001,2001,14,633714,Unreliable
Alaska,02,2002,2002,Suppressed,642337,Suppressed
Alaska,02,2003,2003,11,648414,Unreliable
Alaska,02,2004,2004,10,659286,Unreliable
Alaska,02,2005,2005,18,666946,Unreliable
Alaska,02,2006,2006,29,675302,4.294
Alaska,02,2007,2007,15,680300,Unreliable
Alaska,02,2008,2008,88,687455,12.801
Alaska,02,2009,2009,90,698895,12.877
Alaska,02,2010,2010,62,710231,8.73
Alaska,02,2011,2011,66,722718,9.132
Alaska,02,2012,2012,81,731449,11.074
Alaska,02,2013,2013,69,735132,9.386
Alaska,02,2014,2014,76,736732,10.316
Alaska,02,2015,2015,86,738432,11.646
Alaska,02,2016,2016,94,741894,12.67
Alaska,02,2017,2017,102,739795,13.788
Arizona,04,1999,1999,229,5023823,4.558
Arizona,04,2000,2000,235,5130632,4.58
Arizona,04,2001,2001,265,5273477,5.025
Arizona,04,2002,2002,320,5396255,5.93
Arizona,04,2003,2003,340,5510364,6.17
Arizona,04,2004,2004,344,5652404,6.086
Arizona,04,2005,2005,375,5839077,6.422
Arizona,04,2006,2006,459,6029141,7.613
Arizona,04,2007,2007,461,6167681,7.474
Arizona,04,2008,2008,494,6280362,7.866
Arizona,04,2009,2009,605,6343154,9.538
Arizona,04,2010,2010,626,6392017,9.793
Arizona,04,2011,2011,562,6482505,8.669
Arizona,04,2012,2012,526,6553255,8.027
Arizona,04,2013,2013,527,6626624,7.953
Arizona,04,2014,2014,589,6731484,8.75
Arizona,04,2015,2015,671,6828065,9.827
Arizona,04,2016,2016,769,6931071,11.095
Arizona,04,2017,2017,928,7016270,13.226
Arkansas,05,1999,1999,28,2651860,1.056
Arkansas,05,2000,2000,20,2673400,0.748
Arkansas,05,2001,2001,30,2691571,1.115
Arkansas,05,2002,2002,90,2705927,3.326
Arkansas,05,2003,2003,89,2724816,3.266
Arkansas,05,2004,2004,127,2749686,4.619
Arkansas,05,2005,2005,123,2781097,4.423
Arkansas,05,2006,2006,140,2821761,4.961
Arkansas,05,2007,2007,148,2848650,5.195
Arkansas,05,2008,2008,197,2874554,6.853
